"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://alexdenne.github.io/fofd","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","162","162","162","0.062","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.122","","https://alexdenne.github.io/fofd/","HTTP Redirect","","","1.1","","","","","","https://alexdenne.github.io/fofd","2025-12-10 13:05:01"
"https://alexdenne.github.io/fofd/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Farthing Downs & Happy Valley | Ancient Chalk Downland","54","507","Ancient chalk downland on London's doorstep. Explore Saxon burial mounds, rare orchids, and 30+ butterfly species. Free walks, wildlife, and history trails in Coulsdon.","168","1027","Farthing Downs, Happy Valley, Coulsdon, walks, nature trail, chalk grassland, butterflies, orchids, SSSI, Saxon burial mounds, London walks, Surrey countryside","159","Ancient chalk downland on London's doorstep","43","Discover Farthing Downs & Happy Valley","38","Help protect these special places","33","","","","https://farthingdowns.org.uk/","","","","","","12104","3486","3486","1.335","","241","48","5.021","71.855","Fairly Easy","16.351","1","1","","1","1","0","10.000","29","9","0","5","4","0","","","","","90ab6690abc8003bef4b63a1803c0817","0.125","Wed, 10 Dec 2025 12:47:50 GMT","","","","en","1.1","","","","","","https://alexdenne.github.io/fofd/","2025-12-10 13:05:01"
"https://alexdenne.github.io/fofd/images/deer.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","34767","34767","34767","13.319","","0","","","","","0.000","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.114","Wed, 10 Dec 2025 12:47:49 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/deer.jpg","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/images/orchid-bee.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","67060","67060","67060","25.689","","0","","","","","0.000","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.142","Wed, 10 Dec 2025 12:47:49 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/orchid-bee.jpg","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/join.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Join Friends of Farthing Downs | Membership from £5/year","56","525","Join Friends of Farthing Downs. Membership from £5/year. Support conservation, volunteer opportunities, and exclusive events. Help protect ancient chalk downland.","162","1024","join Friends Farthing Downs, membership charity, volunteer conservation Surrey, donate chalk grassland, conservation volunteer Coulsdon, support wildlife protection","164","Join the Friends","16","Join the Friends","16","Make a Donation","15","","","","https://farthingdowns.org.uk/join.html","","","","","","17074","4674","4674","1.791","","409","86","4.756","76.452","Fairly Easy","16.612","2","1","","60","10","0","100.000","27","12","0","2","1","0","","","","","747b0b50e84d370d04a9d6d4911b562f","0.126","Wed, 10 Dec 2025 12:47:50 GMT","","","","en","1.1","","","","","","https://alexdenne.github.io/fofd/join.html","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/about.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","About Friends of Farthing Downs | Conservation Since 2005","57","527","Friends of Farthing Downs & Happy Valley - volunteer conservation group protecting ancient chalk downland since 2005. 500+ members, £30k+ raised for wildlife conservation.","171","1080","Friends of Farthing Downs, volunteer conservation, Hillbillies volunteer group, charity Coulsdon, City of London Corporation, conservation projects Surrey, chalk grassland protection","182","About the Friends","17","Who We Are","10","Our Committee","13","","","","https://farthingdowns.org.uk/about.html","","","","","","20685","5250","5250","2.011","","718","135","5.319","62.636","Normal","24.457","2","1","","30","10","0","100.000","27","9","0","6","3","0","","","","","4c1ba03a102669742218d622132fd49b","0.133","Wed, 10 Dec 2025 12:47:49 GMT","","","","en","1.1","","","","","","https://alexdenne.github.io/fofd/about.html","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/images/butterfly-marbled-white.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","44440","44440","44440","17.024","","0","","","","","0.000","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.099","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/butterfly-marbled-white.jpg","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/images/volunteers.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","6915","6915","6915","2.649","","0","","","","","0.000","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.110","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/volunteers.jpg","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/explore.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Explore Farthing Downs | Wildlife, History & Nature Trail","57","492","Explore wildlife, archaeology, and 2000 years of history at Farthing Downs. 29-stop Nature Trail narrated by Roger McGough CBE. Discover Saxon burial mounds and rare orchids.","174","1098","Nature Trail Roger McGough, Saxon burial mounds, chalk grassland wildlife, Farthing Downs butterflies, Iron Age field system, SSSI Surrey, orchids Happy Valley, archaeology Coulsdon","181","Explore the Downs","17","The Nature Trail","16","Wildlife","8","","","","https://farthingdowns.org.uk/explore.html","","","","","","19346","5621","5621","2.153","","913","146","6.253","72.430","Fairly Easy","32.301","2","1","","44","10","0","100.000","25","8","0","4","3","0","","","","","a63c513bf70f8dda8b4b4ad7cbec69f2","0.121","Wed, 10 Dec 2025 12:47:50 GMT","","","","en","1.1","","","","","","https://alexdenne.github.io/fofd/explore.html","2025-12-10 13:05:02"
"https://alexdenne.github.io/fofd/index.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Farthing Downs & Happy Valley | Ancient Chalk Downland","54","507","Ancient chalk downland on London's doorstep. Explore Saxon burial mounds, rare orchids, and 30+ butterfly species. Free walks, wildlife, and history trails in Coulsdon.","168","1027","Farthing Downs, Happy Valley, Coulsdon, walks, nature trail, chalk grassland, butterflies, orchids, SSSI, Saxon burial mounds, London walks, Surrey countryside","159","Ancient chalk downland on London's doorstep","43","Discover Farthing Downs & Happy Valley","38","Help protect these special places","33","","","","https://farthingdowns.org.uk/","","","","","","12104","3486","3486","1.335","","241","48","5.021","71.855","Fairly Easy","16.351","2","1","","11","10","0","100.000","29","8","0","5","4","0","","","","","90ab6690abc8003bef4b63a1803c0817","0.116","Wed, 10 Dec 2025 12:47:50 GMT","","","","en","1.1","","","","","","https://alexdenne.github.io/fofd/index.html","2025-12-10 13:05:02"
